Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;
21.01.26;01:13:04;1;0;0.1457;0.1461;0.1652;0.1667;0.1984;0.1960;0.1540;0.1549;0.1544;0.1452;0.1266;0.1325;0.1373;0.1359;0.2693;0.2683;0.2669;0.2664;0.3226;0.3226;0.2771;0.2796;0.2849;0.2669;0.2517;0.2630;0.2659;0.2625;0.459;0.455;0.381;0.374;0.385;0.392;0.444;0.446;0.458;0.456;0.497;0.496;0.483;0.482;
21.01.26;01:14:05;2;0;0.0533;0.0122;0.0152;0.0929;0.0132;0.0147;0.1662;0.1080;0.0371;0.0630;0.0376;0.1945;0.0220;0.0279;0.1012;0.0205;0.0225;0.1764;0.0186;0.0200;0.3348;0.2019;0.0665;0.1153;0.0679;0.3617;0.0352;0.0474;0.473;0.405;0.326;0.474;0.000;0.268;0.504;0.465;0.441;0.453;0.446;0.462;0.375;0.412;
