date_sampled,site,collected_by,gps_id,am_pm,bag_no,time_sample12hr,time_sample12hr,depth_ft,basket_no,notes,date_CBASS
20260121,Amouli,SM,GPS4,AM,81,8:37,8:37,3,20,,20260122
20260121,Amouli,SM,GPS4,AM,86,8:42,8:42,2,46,,20260122
20260121,Amouli,SM,GPS4,AM,90,8:46,8:46,2.5,BAG90,,20260122
20260121,Amouli,SM,GPS4,AM,85,8:51,8:51,3,34,,20260122
20260121,Alofau,SM,GPS4,AM,68,9:46,9:46,2,BAG68,,20260122
20260121,Alofau,SM,GPS4,AM,70,9:52,9:52,5,BAG70,,20260122
20260121,Alofau,SM,GPS4,AM,62,10:03,10:03,7,BAG62,,20260122
20260121,Alofau,SM,GPS4,AM,7,10:14,10:14,7,43,top bleached,20260122
20260121,Alofau,SM,GPS4,AM,6,10:17,10:17,7,33,,20260122
20260121,Alofau,SM,GPS4,AM,69,10:22,10:22,5,BAG69,,20260122
20260121,Amouli,SM,GPS4,AM,35,11:14,11:14,2,35,,20260122
20260121,Amouli,SM,GPS4,AM,17,11:18,11:18,2,18,,20260122
20260121,Amouli,SM,GPS4,AM,67,11:21,11:21,2,29,,20260122
20260121,Amouli,TC,GPS1,AM,78,8:35,8:35,3,NA,Lost and not put in basket,20260122
20260121,Amouli,TC,GPS1,AM,31,8:41,8:41,3,NA,Lost and not put in basket,20260122
20260121,Amouli,TC,GPS1,AM,33,8:47,8:47,3,36,,20260122
20260121,Amouli,TC,GPS1,AM,15,8:54,8:54,3,28,,20260122
20260121,Alofau,TC,GPS1,AM,71,9:50,9:50,4,BAG71,,20260122
20260121,Alofau,TC,GPS1,AM,14,10:06,10:06,5,48,,20260122
20260121,Alofau,TC,GPS1,AM,100,10:26,10:26,8,26,,20260122
20260121,Alofau,TC,GPS1,AM,99,10:37,10:37,9,17,,20260122
20260121,Amouli,TC,GPS1,AM,94,11:13,11:13,3,13,,20260122
20260121,Amouli,TC,GPS1,AM,79,11:18,11:18,2.5,30,,20260122
20260121,Amouli,TC,GPS1,AM,98,11:22,11:22,3,22,,20260122
20260121,Amouli,RC,GPS3,AM,8,8:47,8:47,3,39,,20260122
