ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
0105,pulchritude_3.0,2000_1_1,155995,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,160637,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,165276,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,169914,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,174553,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,179193,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,183833,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,188736,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,193379,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,198018,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,202655,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,207293,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
0105,pulchritude_3.0,2000_1_1,211935,0,0,0,29.00,70.10,-126.62,CHL,29.00,70.10,-126.61,CHL,29.00,70.10,-126.48,CHL,29.00,70.10,-126.59,CHL,
