date,location,person,AM/PM,bag,time,depth_ft,basket,notes
20260121,Amouli,SM,AM,81,8:37,3,20,
20260121,Amouli,SM,AM,86,8:42,2,46,
20260121,Amouli,SM,AM,90,8:46,2.5,BAG90,
20260121,Amouli,SM,AM,85,8:51,3,34,
20260121,Alofau,SM,AM,68,9:46,2,BAG68,
20260121,Alofau,SM,AM,70,9:52,5,BAG70,
20260121,Alofau,SM,AM,62,10:03,7,BAG62,
20260121,Alofau,SM,AM,7,10:14,7,43,top bleached
20260121,Alofau,SM,AM,6,10:17,7,33,
20260121,Alofau,SM,AM,69,10:22,5,BAG69,
20260121,Amouli,SM,AM,35,11:14,2,35,
20260121,Amouli,SM,AM,17,11:18,2,18,
20260121,Amouli,SM,AM,67,11:21,2,29,
20260121,Amouli,TC,AM,78,8:35,3,NA,Lost and not put in basket
20260121,Amouli,TC,AM,31,8:41,3,NA,Lost and not put in basket
20260121,Amouli,TC,AM,33,8:47,3,36,
20260121,Amouli,TC,AM,15,8:54,3,28,
20260121,Alofau,TC,AM,71,9:50,4,BAG71,
20260121,Alofau,TC,AM,14,10:06,5,48,
20260121,Alofau,TC,AM,100,10:26,8,26,
20260121,Alofau,TC,AM,99,10:37,9,17,
20260121,Amouli,TC,AM,94,11:13,3,13,
20260121,Amouli,TC,AM,79,11:18,2.5,30,
20260121,Amouli,TC,AM,98,11:22,3,22,
20260121,Amouli,RC,AM,8,8:47,3,39,
20260121,Amouli,RC,AM,60,8:50,3,27,
20260121,Amouli,RC,AM,32,8:53,2,BAG32,
20260121,Alofau,RC,AM,51,9:48,7,47,
20260121,Alofau,RC,AM,9,9:52,5,24,
20260121,Alofau,RC,AM,11,10:00,3,44,
20260121,Alofau,RC,AM,52,10:04,3,15,
20260121,Alofau,RC,AM,54,10:12,6,42,
20260121,Alofau,RC,AM,53,10:17,7,BAG53,
20260121,Alofau,RC,AM,19,10:24,7,BAG19,
20260121,Amouli,RC,AM,50,11:17,2,45,
20260121,Amouli,RC,AM,49,11:19,2,38,
20260121,Amouli,RC,AM,56,11:23,2,19,
20260121,Amouli,RC,AM,55,11:26,2,25,
20260122,Nuuuli,RC,PM,63,2:01,2,28,
20260122,Nuuuli,RC,PM,61,2:07,2,13,
20260122,Nuuuli,RC,PM,57,2:12,2,33,
20260122,Nuuuli,RC,PM,88,2:16,2,17,
20260122,Nuuuli,RC,PM,64,2:58,2,35,
20260122,Nuuuli,RC,PM,79,3:01,2,30,
20260122,Nuuuli North,RC,PM,66,4:02,6,27,
20260122,Nuuuli North,RC,PM,28,4:12,8,22,
20260122,Nuuuli North,RC,PM,27,4:17,5,46,
20260122,Nuuuli North,RC,PM,65,4:22,5,34,
20260122,Nuuuli North,RC,PM,25,4:32,4,25,
20260122,Nuuuli North,RC,PM,23,4:40,7,43,
20260122,Nuuuli North,RC,PM,83,5:06,1,21,
20260122,Nuuuli North,RC,PM,26,5:09,2,18,
20260122,Nuuuli North,RC,PM,24,5:13,5,47,
20260122,Alenga,TC,AM,96,11:34,2,29,
20260122,Alenga,TC,AM,91,11:42,3,38,basket no hard to read
20260122,Alenga,TC,AM,77,12:00,2,39,
20260122,Nuuuli,TC,PM,95?,2:01,2,24,
20260122,Nuuuli,TC,PM,72,2:16,2,20,
20260122,Nuuuli,TC,PM,80,2:48,2,26,
20260122,Nuuuli,TC,PM,86,2:51,2,36,
20260122,Nuuuli,TC,PM,75,3:00,1,32,
20260122,Nuuuli,TC,PM,1,3:02,1,19,
20260122,Nuuuli North,TC,PM,15,3:58,6,31,
20260122,Nuuuli North,TC,PM,29,4:05,7,16,
20260122,Nuuuli North,TC,PM,76,4:13,7,48,
20260122,Nuuuli North,TC,PM,21,4:24,7,42,
20260122,Nuuuli North,TC,PM,74,4:32,5,14,
20260122,Nuuuli North,TC,PM,49,4:41,6,23,
20260122,Nuuuli North,TC,PM,8,4:48,5,40,
20260122,Nuuuli North,TC,PM,6,5:03,4,44,top of the big patch of 3
20260122,Nuuuli North,TC,PM,54,5:05,6,45,middle of the big patch
20260122,Nuuuli North,TC,PM,82,5:10,4,37,right of the big patch
20260122,Nuuuli North,TC,PM,50,5:15,1,15,
20260124,Auasi,SM,AM,47,9:05,3,20,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,SM,AM,46,9:10,1.5,23,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,SM,AM,44,9:13,2,31,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,SM,AM,48,9:17,3,47,Died overnight in holding tank due to 46C temp spike
20260124,Auasi,SM,AM,45,9:19,1.5,19,Died overnight in holding tank due to 46C temp spike
